Model ,Shorthand Name,Description,Spatiotemporal Resolution & Latency,Anomaly Reference Period,Pre-Computed Anomalies?,Data Access,Reference(s)
"Climate Prediction Center, Leaky Bucket Model 0 - 160cm",CPC ,The CPC Leaky Bucket soil moisture product is a one-layer bucket water balance model. Model parameters are constant spatially and tuned to reproduce runoff of several small river basins in eastern Oklahoma.,"Daily data, 1-day data latency, 1-degree resolution",1979 - 2019,Yes,"Climate Prediction Center (n.d.). Climate Prediction Center, Leaky Bucket Model. Retrieved August 1, 2023, from ftp://ftp.cpc.ncep.noaa.gov/GIS/USDM_Products/soil/percentile/daily/",Fan 2004
Gravity Recovery and Climate Experiment  Rootzone Soil Moisture (variable depth),GRACE,The GRACE rootzone soil moisture model leverages a numerical model of land surface water and energy processes along with observations of terrestrial water storage (derived from observations of gravity) from the GRACE-FO satellite to estimate moisture.,"Weekly data, <1 week data latency, 0.125 degree resolution",1948-2012,Yes,"National Aeronautics and Space Administration, National Drought Mitigation Center (n.d.). Groundwater and Soil Moisture Conditions from GRACE-FO Data Assimilation for the Contiguous U.S. And Global Land. Retrieved August 1, 2023, from https://nasagrace.unl.edu/data/",Houborg et al. 2012
North American Land Data Assimilation System (NLDAS-2) Variable Infiltration Capacity (VIC) 0–100cm,NLDAS-2 VIC ,"The NLDAS-2 VIC land surface model uses three soil layers, with thicknesses that vary spatially and a two-layer energy balance snow model forced by the hourly NLDAS-2 forcing data.","Hourly data (first hour of each day used here), <1 week data latency, 0.125 degree resolution",1993-2022,No,"National Aeronautics and Space Administration Goddard Earth Sciences Data and Information Services Center (GES DISC) (n.d.). NLDAS-2 VIC data. Retrieved August 1, 2023, from https://hydro1.gesdisc.eosdis.nasa.gov/data/NLDAS/NLDAS_VIC0125_H.2.0/",Liang et al. 1994; Wood et al. 1997
North American Land Data Assimilation System (NLDAS-2) Mosaic 0–100cm,NLDAS-2 MOSAIC,"The NLDAS-2 MOSAIC land surface model uses three soil layers with thicknesses of 10, 30 and 160 cm and accounts for the sub-grid heterogeneity of vegetation and soil moisture with a tiling approach.  The model is forced by the hourly NLDAS-2 forcing data.","Hourly data (first hour of each day used here), <1 week data latency, 0.125 degree resolution",1993-2022,No,"National Aeronautics and Space Administration Goddard Earth Sciences Data and Information Services Center (GES DISC) (n.d.). NLDAS-2 MOSAIC data. Retrieved August 1, 2023, from https://hydro1.gesdisc.eosdis.nasa.gov/data/NLDAS/NLDAS_MOS0125_H.2.0/","Koster and Suarez 1994, 1992"
North American Land Data Assimilation System (NLDAS-2) Noah 0–100cm,NLDAS-2 NOAH,"The NLDAS-2 NOAH land surface model uses four soil layers, with spatially invariant thicknesses of 10, 30, 60 and 100 cm and simulates the soil freeze-thaw process and its impact on soil heating/cooling and transpiration. The model is forced by the hourly NLDAS-2 forcing data.","Hourly data (first hour of each day used here), <1 week data latency, 0.125 degree resolution",1993-2022,No,"National Aeronautics and Space Administration Goddard Earth Sciences Data and Information Services Center (GES DISC) (n.d.). NLDAS-2 NOAH data. Retrieved August 1, 2023, from https://hydro1.gesdisc.eosdis.nasa.gov/data/NLDAS/NLDAS_NOAH0125_H.2.0/",Chen et al. 1996; Ek et al. 2003
North American Land Data Assimilation System (NLDAS-2) 0-100cm Ensemble,NLDAS-2 Ensamble,"Time and site specific mean (ensamble) soil moisture from the NLDAS-2 VIC, NLDAS-2 MOSAIC and NLDAS-2 NOAH models. ","Hourly data (first hour of each day used here), <1 week data latency, 0.125 degree resolution",1993-2022,No,N/A,N/A
Soil Moisture Active Passive L4 (SMAP L4) rootzone (0-100cm) soil moisture,SMAP L4,SMAP L4 soil moisture utilizes earth observations from the SMAP probe (land surface microwave emission at 1.41 GHz) in conjunction with a land surface model to estimate rootzone soil moisture.,"Three hourly data (first hour of each day used here), <1 week data latency, 11km resolution ",1993-2022,Yes,"Reichle, R.H., G. De Lannoy, R.D. Koster, W.T. Crow, J.S. Kimball, Q. Liu, and M. Bechtold. 2022. SMAP L4 Global 3-hourly 9 km EASE-Grid Surface and Root Zone Soil Moisture Analysis Update, Version 7. Root zone soil moisture (0-100 cm; percentile units). Boulder, Colorado USA. NASA National Snow and Ice Data Center Distributed Active Archive Center. doi:10.5067/LWJ6TF5SZRG3",R. Reichle et al. 2022
Short-term Prediction Research and Transition Center (SPoRT) rootzone (0–100cm) mean soil moisture,SPoRT,"The SPoRT soil moisture model estimates soil moisture using the NASA Land Information System (LIS) and a long-term run of the NLDAS-2 NOAH model. SPoRT integrates information from the Visible Infrared Imaging Radiometer Suite (NOAA/NESDIS VIIRS) instrument into the model, estimating near real time green vegetation fraction. ","Three hourly data (first hour of each day used here), 1-day data latency, 3km resolution ",2005-2022,No,"Data Accessed Directly via NASA: J. Case, personal communication, April 3, 2023","Case and White, 2014"
Topofire rootzone soil moisture (variable depth),Topofire,Topofire soil moisture is a single layer soil water balance model that assumes uniform vegetation and with soil water holding capacity defined by gridded soil water holding capacity from SSURGO. ,"Daily data, 3-day data latency, 250m resolution",1993-2022,No,"Topofire (n.d.). Topofire Daily Data. Retrieved August 1, 2023, from https://topofire.dbs.umt.edu/public_data/topofire_weather/daily_grids/",Holden et al. 2019
"Note: The NLDAS-2 SAC model was not available, and thus was not included in this analysis. Therefore, the NLDAS-2 ensemble soil moisture evaluated here represents the average soil moisture model estimates from the VIC, Mosaic and Noah models. Each of the NLDAS-2 land surface models leverages a different modeling architecture (e.g. VIC (Liang et al. 1994; Wood et al. 1997), Mosaic (Koster and Suarez 1994, 1992), and Noah (Chen et al. 1996; Ek et al. 2003)) but all use the same forcing data. Therefore differences in the performance of the various NLDAS-2 models is due to the model simulation architecture.",,,,,,,
